Sample Number,Sampled Point Number,Latitude + Longitude,Heading,Date,Image Name,Road Types,Web Link
28,7,"13.9698059005,100.5617559",W,2012-03,0000000028_13.9698059005_100.5617559_W.jpg,"unclassified,service",https://drive.google.com/uc?id=0B7dZI0Kce2cSajhRTlI2UU1aQms
29,8,"13.9287684002,100.5642327",N,2012-02,0000000029_13.9287684002_100.5642327_N.jpg,"residential,residential,residential,residential,residential,residential",https://drive.google.com/uc?id=0B7dZI0Kce2cSeTlLZmRya0tnUms
30,8,"13.9287684002,100.5642327",E,2012-02,0000000030_13.9287684002_100.5642327_E.jpg,"residential,residential,residential,residential,residential,residential",https://drive.google.com/uc?id=0B7dZI0Kce2cSei0zOHhWTzBPQzg
31,8,"13.9287684002,100.5642327",S,2012-02,0000000031_13.9287684002_100.5642327_S.jpg,"residential,residential,residential,residential,residential,residential",https://drive.google.com/uc?id=0B7dZI0Kce2cSYnlmdkdMQ1laRTA
32,8,"13.9287684002,100.5642327",W,2012-02,0000000032_13.9287684002_100.5642327_W.jpg,"residential,residential,residential,residential,residential,residential",https://drive.google.com/uc?id=0B7dZI0Kce2cSMUZFbjBfTGl5V3M
33,9,"13.7351752002,100.524969299",N,2016-11,0000000033_13.7351752002_100.524969299_N.jpg,"residential,residential,residential,residential",https://drive.google.com/uc?id=0B7dZI0Kce2cSNjIwalBET2Q4bUE
34,9,"13.7351752002,100.524969299",E,2016-11,0000000034_13.7351752002_100.524969299_E.jpg,"residential,residential,residential,residential",https://drive.google.com/uc?id=0B7dZI0Kce2cSOUpEcEhLYVN4MGc
35,9,"13.7351752002,100.524969299",S,2016-11,0000000035_13.7351752002_100.524969299_S.jpg,"residential,residential,residential,residential",https://drive.google.com/uc?id=0B7dZI0Kce2cSYVpCZW5oWGc0bWs
36,9,"13.7351752002,100.524969299",W,2016-11,0000000036_13.7351752002_100.524969299_W.jpg,"residential,residential,residential,residential",https://drive.google.com/uc?id=0B7dZI0Kce2cSamZ6TzhvVm03M0k
37,10,"13.9159,100.5982791",N,2016-09,0000000037_13.9159_100.5982791_N.jpg,"tertiary,residential",https://drive.google.com/uc?id=0B7dZI0Kce2cSelZ5Q0dPTlFUeTg
38,10,"13.9159,100.5982791",E,2016-09,0000000038_13.9159_100.5982791_E.jpg,"tertiary,residential",https://drive.google.com/uc?id=0B7dZI0Kce2cSdlVFenIyZWtkM0U
39,10,"13.9159,100.5982791",S,2016-09,0000000039_13.9159_100.5982791_S.jpg,"tertiary,residential",https://drive.google.com/uc?id=0B7dZI0Kce2cSTWZVeVE1cDB6TVU
40,10,"13.9159,100.5982791",W,2016-09,0000000040_13.9159_100.5982791_W.jpg,"tertiary,residential",https://drive.google.com/uc?id=0B7dZI0Kce2cSWGhNeHJPbVlpSmM
